"ID","Title (任务标题)","Content (详细内容)","Acceptance Criteria (测试验收要求)","Review Requirements (Review要求)","State (状态)","Labels (标签)"
"1","冻结字段来源与状态枚举","在 `src/core/provenance.ts` 定义统一字段来源、字段状态、更新时间与状态升级 helper；后续 canonical model、patch、controller、review 只能复用这一个定义，禁止把来源/状态字符串散落硬编码。","1) 新增 `src/core/provenance.ts` 并导出来源/状态枚举与 helper；2) `src/core/model.ts` 可直接引用，不再新增第二套来源常量；3) `npm run build` 通过；4) `node --test tests/model-normalization.test.mjs` 中 provenance helper 用例通过。","强制 review+rewind：用 `rg 'user_explicit|parsed_exact|parsed_inferred|ai_drafted|ai_rewritten|user_confirmed' src tests` 确认来源字面量未在非定义文件重复扩散；确认未新增未使用 helper、死代码、第二套状态枚举；只允许修改 provenance 边界文件及其直接调用点。","已完成","已完成"
"2","给基础信息字段加 envelope","把 `src/core/model.ts` 中 basic 区块升级为统一字段 envelope；每个字段至少携带 `value/source/confidence/status/updatedBy/updatedAt`，禁止继续输出只有裸值的基础信息结构。","1) `buildEmptyModel` 的 basic 字段全部变为 envelope 结构；2) 空模型默认状态符合设计文档，不把空值标记为 confirmed；3) `npm run build` 通过；4) `node --test tests/model-normalization.test.mjs` 覆盖 basic 空模型与 parse-first 输入两种情况并通过。","强制 review+rewind：搜索 `model.basic.` 和旧裸值访问点，确认影响边界内调用方全部被更新或被明确阻断；确认没有保留兼容 shim、双字段、临时 fallback；只修改 basic 相关模型与直接测试。","已完成","已完成"
"3","给经历与项目集合加 provenance","把 experience、projects、education 的条目与内部关键字段升级为可追踪结构，至少能区分 parsed_exact、parsed_inferred、ai_drafted、user_confirmed，避免后续 review 与 patch 阶段丢失事实来源。","1) experience/projects/education 的关键字段与条目元信息可表达来源和确认状态；2) 日期拆分逻辑保留，但不会把推断字段直接标成 confirmed；3) `npm run build` 通过；4) `node --test tests/model-normalization.test.mjs` 覆盖解析输入与 authoring 输入并通过。","强制 review+rewind：检查集合项的旧裸值路径无残留写入；用搜索确认没有同时保留旧数组 shape 和新数组 shape；确认只扩散到直接依赖这些集合的适配层和测试。","已完成","已完成"
"4","给技能与附加区块加 provenance 并补归一化测试","把 skills、certifications、languages、github、qr_codes、custom_sections、render_config 的归一化逻辑统一到 canonical model 约束下，并补足模型归一化回归测试，确保 parse-first 与 0-1 authoring 都能输出同一真相层。","1) 上述区块全部能表达字段来源或条目来源；2) `normalizeReactiveJson` 对 parse-first 与 0-1 authoring 的输出 shape 一致；3) 新增 `tests/model-normalization.test.mjs` 并包含 basic、集合、custom_sections、render_config 的正反例；4) `npm run build && node --test tests/model-normalization.test.mjs` 通过。","强制 review+rewind：搜索旧 shape 访问点，确认影响边界内引用已更新；确认没有为了兼容保留双路径；确认测试覆盖空值、推断值、确认值三类状态；只有模型边界内无残余后才能结束。","已完成","已完成"
"5","定义 ResumeDraft 与模块级 patch 协议","在 `src/core/patches.ts` 定义 ResumeDraft、模块级 patch、差异摘要、来源与严重级结构；目标是让 parse/authoring/review 都输出 patch，而不是直接覆盖正式事实。","1) 新增 `src/core/patches.ts`；2) patch 至少包含模块标识、旧值、新值、来源、严重级、可回退信息；3) chat 层可引用该协议但暂不要求全部接通；4) `npm run build` 通过。","强制 review+rewind：确认 patch 协议没有和 canonical model 混成一层；搜索 `sessionPatch.currentResume.model` 相关写法，标记后续替换入口；确认没有创建一次性 helper 或未来式抽象。","已完成","已完成"
"6","把解析工具改成返回 draft patch","修改 `src/chat/tools.ts` 的 parse-resume 分支，使其返回 ResumeDraft/模块 patch/产物路径，而不是直接把解析结果写进 `currentResume.model`。","1) parse-resume 分支不再直接生成正式 confirmed 内容；2) 返回值中包含 draft patch、artifactPatch、taskPatch；3) `node --test tests/chat-agent.test.mjs` 中 parse 用例能看到 pending patch 而不是直接落事实；4) `npm run build` 通过。","强制 review+rewind：搜索 parse-resume 影响边界，确认不存在第二个直接写 currentResume.model 的入口；检查错误路径不会伪造成功 patch；只修改 parse 工具桥与直接测试。","已完成","已完成"
"7","把优化工具改成返回 patch 与 Phase B 状态","修改 `src/chat/tools.ts` 的 optimize-resume 分支，使优化结果先落到 patch 队列，并显式保留 Phase B 提问与等待反馈状态；禁止优化工具直接把 AI 改写内容写成 confirmed 事实。","1) optimize-resume 分支返回 draft patch、artifactPatch、taskPatch、phaseB；2) Phase B 未确认时状态为等待反馈，不是 done；3) 未确认事实不会直接升级为 confirmed；4) `npm run build && node --test tests/chat-agent.test.mjs` 通过。","强制 review+rewind：搜索 optimize-resume 结果写回路径，确认只有 patch 流入 session；确认 Phase B 状态与 patch 状态没有双真相；确认没有静默 fallback 到旧行为。","已完成","已完成"
"8","让 chat agent 接管 patch 队列与模块确认","修改 `src/chat/agent.ts`，让 agent 只接收 draft patch、维护 pending patches、记录用户确认/拒绝结果；正式内容升级只能通过模块级确认事件触发。","1) session 中新增 pending patches 与确认结果记录；2) 用户接受 patch 后才更新正式内容；3) 用户拒绝 patch 后状态可追踪且不会污染 confirmed 数据；4) `npm run build && node --test tests/chat-agent.test.mjs` 通过。","强制 review+rewind：搜索 `pendingPlan`、直接覆写 currentResume 的旧路径，确认影响边界内都已切到 patch 流；确认 agent 没有同时维护第二套确认状态；确认 rejected patch 可被审计。","已完成","已完成"
"9","定义控制器状态与事件模型","新建 `src/chat/controller.ts`，集中定义 `intake/drafting/pending_confirmation/confirmed_content/reviewing/layout_solving/ready_to_export/exported/blocked` 等状态与显式事件；runtime 与 agent 不再私自发明状态。","1) 新增 `src/chat/controller.ts` 并导出状态、事件、转移函数；2) 至少覆盖设计文档中的主状态与核心事件；3) 非法转移会显式失败，不做静默 fallback；4) `npm run build` 通过。","强制 review+rewind：搜索 chat 层状态字符串，确认状态常量只保留一套；确认没有在 runtime/agent 里继续偷偷写状态字面量；只允许修改 controller 边界与直接调用点。","已完成","已完成"
"10","把 workflow state 与 checkpoint 持久化进 session","修改 `src/chat/session.ts`，持久化 workflow state、currentResume（含 canonical model 与 provenance / confirmation 状态）、pending patches、最近审核结果、最近分页结果、模板选择、导出 artifacts 与 checkpoint；恢复时按状态继续，而不是靠模型猜测上下文。","1) session schema 明确包含 currentResume、workflow state、pending patches、review results、layout results、currentTemplate、artifacts、checkpoints；2) 老 session 读取后可补默认值但不丢新字段；3) `npm run build && node --test tests/chat-persistence.test.mjs` 通过；4) stable checkpoint 覆盖 parse 完成、patch 生成/确认、review 完成、模板确认、分页完成、导出完成。","强制 review+rewind：检查 session 读写路径只有一套 schema；确认 currentResume / artifacts / templateComparison 不会在存取时丢失；搜索旧字段名无残留写入；仅影响 session 存储边界和直接测试。","已完成","已完成"
